match_no,date,time_local,home_team,away_team,venue,city,country,neutral,source_note
73,2026-06-28,12:00,South Africa,Canada,SoFi Stadium,Inglewood,United States,TRUE,FIFA Round of 32 schedule cross-checked with CBS/SI/Al Jazeera
76,2026-06-29,12:00,Brazil,Japan,NRG Stadium,Houston,United States,TRUE,FIFA Round of 32 schedule cross-checked with CBS/SI/Al Jazeera
74,2026-06-29,16:30,Germany,Paraguay,Gillette Stadium,Foxborough,United States,TRUE,FIFA Round of 32 schedule cross-checked with CBS/SI/Al Jazeera
75,2026-06-29,19:00,Netherlands,Morocco,Estadio BBVA,Guadalupe,Mexico,TRUE,FIFA Round of 32 schedule cross-checked with CBS/SI/Al Jazeera
78,2026-06-30,12:00,Ivory Coast,Norway,AT&T Stadium,Arlington,United States,TRUE,FIFA Round of 32 schedule cross-checked with CBS/SI/Al Jazeera
77,2026-06-30,17:00,France,Sweden,MetLife Stadium,East Rutherford,United States,TRUE,FIFA Round of 32 schedule cross-checked with CBS/SI/Al Jazeera
79,2026-06-30,19:00,Mexico,Ecuador,Estadio Azteca,Mexico City,Mexico,FALSE,FIFA Round of 32 schedule cross-checked with CBS/SI/Al Jazeera
80,2026-07-01,12:00,England,DR Congo,Mercedes-Benz Stadium,Atlanta,United States,TRUE,FIFA Round of 32 schedule cross-checked with CBS/SI/Al Jazeera
82,2026-07-01,13:00,Belgium,Senegal,Lumen Field,Seattle,United States,TRUE,FIFA Round of 32 schedule cross-checked with CBS/SI/Al Jazeera
81,2026-07-01,17:00,United States,Bosnia and Herzegovina,Levi's Stadium,Santa Clara,United States,FALSE,FIFA Round of 32 schedule cross-checked with CBS/SI/Al Jazeera
84,2026-07-02,12:00,Spain,Austria,SoFi Stadium,Inglewood,United States,TRUE,FIFA Round of 32 schedule cross-checked with CBS/SI/Al Jazeera
83,2026-07-02,19:00,Portugal,Croatia,BMO Field,Toronto,Canada,TRUE,FIFA Round of 32 schedule cross-checked with CBS/SI/Al Jazeera
85,2026-07-02,20:00,Switzerland,Algeria,BC Place,Vancouver,Canada,TRUE,FIFA Round of 32 schedule cross-checked with CBS/SI/Al Jazeera
88,2026-07-03,13:00,Australia,Egypt,AT&T Stadium,Arlington,United States,TRUE,FIFA Round of 32 schedule cross-checked with CBS/SI/Al Jazeera
86,2026-07-03,18:00,Argentina,Cape Verde,Hard Rock Stadium,Miami Gardens,United States,TRUE,FIFA Round of 32 schedule cross-checked with CBS/SI/Al Jazeera
87,2026-07-03,20:30,Colombia,Ghana,Arrowhead Stadium,Kansas City,United States,TRUE,FIFA Round of 32 schedule cross-checked with CBS/SI/Al Jazeera
